Supplier_Lead_Time,Inventory_Levels,Order_Frequency,Delivery_Performance,Cost_Per_Unit
10.8,332,6.5,81.5,24.53
13.8,520,5.2,84.7,28.78
14.4,466,7.6,81.6,30.27
6.3,396,9,88.7,22.82
11.7,203,7.4,83.3,27.09
19.6,430,5.2,72.2,33.18
15.7,333,4.5,79.8,30.32
17.3,379,5.8,75.8,31.74
17.6,337,6,73.8,34.52
6.7,37,8.3,88.5,22.03
7.8,48,8,87,24.39
15.9,168,5.2,78.3,29.99
5.6,145,9.4,89.9,22.66
6.1,400,10.5,94.6,22.08
5.7,234,10.2,91.4,22.27
14.1,492,7.4,78.3,29.37
5.1,207,10,94.7,19.98
15,374,5.2,76.5,31.12
15.2,122,5,77.2,32.32
13.5,430,5.9,78.7,30.71
19,536,5.8,79.1,33.76
16,159,5.1,80,30.56
7.5,282,10.5,85.3,21.93
6,287,9.6,92.3,19.65
16.4,420,5.2,78.1,32.14
13.8,185,5.7,82.7,27.82
5.9,378,9.5,88.3,22.5
14.5,331,6.6,79.4,28.08
6.6,266,9.6,90.8,19.89
16.2,519,4.4,80.5,31.57
16.5,399,5,75.5,33.13
18.7,491,4.8,74.2,32.35
9.7,130,6.8,83.9,25.48
8.5,165,8.2,86.3,22.94
15,210,7.1,79.7,28.29
17.2,483,4.2,77.1,33.02
14,369,7.6,77.4,28.05
17.2,338,3.7,73.8,34.33
10.3,280,7.4,82.1,27.53
14,489,5.4,81.4,28.58
9.7,185,7.4,89.8,22.43
14.6,297,5.7,79.4,30.55
18.9,259,5.7,77.1,32.38
17,234,5.6,79.9,30.08
11.4,283,8.8,86.9,27.55
14.4,382,5.5,80.5,30.65
6.3,87,10.5,90,22.62
16.1,166,7,78.3,31.95
12,95,7.8,84.2,25.1
8.6,323,7.2,91.3,25.14
11,465,7.3,81,27.61
11.4,165,7,88,27.45
14.2,505,6.3,82.6,27.43
17.3,486,4.1,78.1,32.88
16.6,292,4.8,81.7,32.45
6.9,311,10.7,86.8,23.6
6.4,262,10,91,21.25
17.1,223,6.2,78.1,31.79
6.6,66,8.9,91.5,21.01
13.4,345,6.4,82.2,27.01
9.6,142,8.8,84.9,25.05
9.4,96,8.7,83.5,26.5
10.4,123,7.9,86.7,25.16
15.3,398,7.3,76.8,32.17
11.7,86,5.9,81.7,28.74
12,445,7.7,80.4,28.12
18.5,167,3.5,78.4,33.1
7.5,451,7.6,93,22.79
5.3,151,9,91.7,22.46
